ID condition rando type order block sound_dist concept_dist answer RT score problem gender age native
subject_1 joint 0 preTask 0 1 NA NA 0 7481 0.75 No F 20-29 yes
subject_1 joint 0 preTask 1 1 NA NA 0 4737 0.75 No F 20-29 yes
subject_1 joint 0 preTask 1 1 NA NA 0 2556 0.75 No F 20-29 yes
subject_1 joint 0 preTask 0 1 NA NA 0 2858 0.75 No F 20-29 yes
subject_1 sound 0 preTask 1 1 NA NA 1 9069 0.75 No F 20-29 yes
subject_1 sound 0 preTask 0 1 NA NA 1 2906 0.75 No F 20-29 yes
subject_1 sound 0 preTask 1 1 NA NA 1 2509 0.75 No F 20-29 yes
subject_1 sound 0 preTask 0 1 NA NA 0 3732 0.75 No F 20-29 yes
subject_1 concept 0 preTask 0 1 NA NA 0 2723 0.75 No F 20-29 yes
subject_1 concept 0 preTask 1 1 NA NA 1 2399 0.75 No F 20-29 yes
subject_1 concept 0 preTask 0 1 NA NA 0 2077 0.75 No F 20-29 yes
subject_1 concept 0 preTask 1 1 NA NA 1 2019 0.75 No F 20-29 yes
subject_1 sound 0 Task 4 1 3 0 1 3517 0.75 No F 20-29 yes
subject_1 sound 0 Task 2 1 1 0 0 2706 0.75 No F 20-29 yes
subject_1 sound 0 Task 1 1 0 0 0 2404 0.75 No F 20-29 yes
subject_1 sound 0 Task 5 1 4 0 1 2373 0.75 No F 20-29 yes
subject_1 sound 0 Task 3 1 2 0 1 2520 0.75 No F 20-29 yes
subject_1 sound 0 Task 2 2 1 0 0 2614 0.75 No F 20-29 yes
subject_1 sound 0 Task 3 2 2 0 1 2466 0.75 No F 20-29 yes
subject_1 sound 0 Task 5 2 4 0 1 2244 0.75 No F 20-29 yes
subject_1 sound 0 Task 1 2 0 0 0 2236 0.75 No F 20-29 yes
subject_1 sound 0 Task 4 2 3 0 0 2180 0.75 No F 20-29 yes
subject_1 concept 0 Task 2 1 0 1 1 2241 0.75 No F 20-29 yes
subject_1 concept 0 Task 1 1 0 0 0 1995 0.75 No F 20-29 yes
subject_1 concept 0 Task 3 1 0 2 1 2066 0.75 No F 20-29 yes
subject_1 concept 0 Task 5 1 0 4 1 2204 0.75 No F 20-29 yes
subject_1 concept 0 Task 4 1 0 3 1 2156 0.75 No F 20-29 yes
subject_1 concept 0 Task 5 2 0 4 1 2021 0.75 No F 20-29 yes
subject_1 concept 0 Task 2 2 0 1 0 1938 0.75 No F 20-29 yes
subject_1 concept 0 Task 3 2 0 2 0 1996 0.75 No F 20-29 yes
subject_1 concept 0 Task 1 2 0 0 0 2388 0.75 No F 20-29 yes
subject_1 concept 0 Task 4 2 0 3 1 1933 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 1 4 1 4250 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 4 4 1 3570 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 2 2 1 3225 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 3 1 0 2220 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 1 1 0 2363 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 0 4 1 1917 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 4 3 1 2044 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 4 1 0 2170 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 3 2 0 1923 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 1 0 0 1924 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 0 3 1 1853 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 0 0 1 1811 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 3 0 0 1853 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 0 1 0 1843 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 2 3 1 1948 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 0 2 0 1707 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 4 2 1 1893 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 4 0 0 1827 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 1 3 1 1853 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 2 1 0 2092 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 3 3 1 1883 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 2 0 0 1908 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 1 2 0 1844 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 3 4 1 1716 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 1 2 4 1 1740 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 1 2 0 2500 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 0 0 0 1786 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 3 1 0 2223 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 3 4 1 4127 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 0 4 1 1805 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 2 2 0 2310 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 1 3 1 1948 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 4 3 1 1912 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 4 0 0 1925 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 4 1 0 1970 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 2 1 0 2140 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 3 0 0 1996 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 2 0 0 1981 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 4 4 1 1891 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 3 3 1 2092 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 2 3 1 2100 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 4 2 0 2077 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 0 3 1 2003 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 1 4 1 2195 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 3 2 1 2138 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 1 0 0 2093 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 0 2 1 2043 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 1 1 0 1917 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 0 1 0 2481 0.75 No F 20-29 yes
subject_1 joint 0 Task 0 2 2 4 1 1924 0.75 No F 20-29 yes
subject_2 joint 2 preTask 0 1 NA NA 0 4855 1.0 No F 50-59 yes
subject_2 joint 2 preTask 1 1 NA NA 1 3078 1.0 No F 50-59 yes
subject_2 joint 2 preTask 1 1 NA NA 1 3108 1.0 No F 50-59 yes
subject_2 joint 2 preTask 0 1 NA NA 0 3845 1.0 No F 50-59 yes
subject_2 sound 2 preTask 0 1 NA NA 0 2358 1.0 No F 50-59 yes
subject_2 sound 2 preTask 0 1 NA NA 0 2343 1.0 No F 50-59 yes
subject_2 sound 2 preTask 1 1 NA NA 1 2091 1.0 No F 50-59 yes
subject_2 sound 2 preTask 1 1 NA NA 1 2115 1.0 No F 50-59 yes
subject_2 concept 2 preTask 0 1 NA NA 0 2747 1.0 No F 50-59 yes
subject_2 concept 2 preTask 0 1 NA NA 0 3691 1.0 No F 50-59 yes
subject_2 concept 2 preTask 1 1 NA NA 1 3033 1.0 No F 50-59 yes
subject_2 concept 2 preTask 1 1 NA NA 1 2226 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 4 1 1 3041 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 3 3 1 2355 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 4 4 1 2195 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 2 1 1 2372 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 1 0 0 2391 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 0 4 1 2837 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 3 0 1 2487 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 1 4 1 2457 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 0 2 0 2336 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 0 0 0 2217 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 2 2 1 2238 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 3 1 1 2622 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 3 4 1 2294 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 3 2 1 2386 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 4 0 1 2147 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 1 1 0 2334 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 4 2 1 2175 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 4 3 1 2315 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 1 2 0 2666 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 0 3 0 2254 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 1 3 0 2379 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 2 4 1 2312 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 2 3 1 2439 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 2 0 1 2488 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 1 0 1 0 2345 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 1 0 0 2176 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 3 3 1 2161 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 4 2 1 2521 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 0 2 0 4060 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 0 1 0 2562 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 0 3 0 2940 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 4 4 1 5473 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 4 1 1 2558 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 2 4 0 2193 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 4 0 1 2479 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 3 1 1 2140 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 2 0 0 2131 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 4 3 1 1998 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 3 2 1 2050 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 2 1 0 2485 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 2 2 0 2866 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 1 1 0 3069 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 0 4 1 2501 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 1 2 1 2424 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 0 0 0 2298 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 1 4 1 2000 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 3 4 1 2043 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 1 3 1 2223 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 2 3 1 2114 1.0 No F 50-59 yes
subject_2 joint 2 Task 0 2 3 0 1 3570 1.0 No F 50-59 yes
subject_2 sound 2 Task 3 1 2 0 1 3693 1.0 No F 50-59 yes
subject_2 sound 2 Task 2 1 1 0 0 2268 1.0 No F 50-59 yes
subject_2 sound 2 Task 1 1 0 0 0 2214 1.0 No F 50-59 yes
subject_2 sound 2 Task 4 1 3 0 1 2197 1.0 No F 50-59 yes
subject_2 sound 2 Task 5 1 4 0 1 2276 1.0 No F 50-59 yes
subject_2 sound 2 Task 3 2 2 0 0 2131 1.0 No F 50-59 yes
subject_2 sound 2 Task 1 2 0 0 0 2115 1.0 No F 50-59 yes
subject_2 sound 2 Task 2 2 1 0 0 2411 1.0 No F 50-59 yes
subject_2 sound 2 Task 4 2 3 0 1 3081 1.0 No F 50-59 yes
subject_2 sound 2 Task 5 2 4 0 1 2276 1.0 No F 50-59 yes
subject_2 concept 2 Task 4 1 0 3 1 2597 1.0 No F 50-59 yes
subject_2 concept 2 Task 1 1 0 0 0 2197 1.0 No F 50-59 yes
subject_2 concept 2 Task 3 1 0 2 1 2427 1.0 No F 50-59 yes
subject_2 concept 2 Task 5 1 0 4 1 2943 1.0 No F 50-59 yes
subject_2 concept 2 Task 2 1 0 1 0 2515 1.0 No F 50-59 yes
subject_2 concept 2 Task 5 2 0 4 1 2114 1.0 No F 50-59 yes
subject_2 concept 2 Task 3 2 0 2 1 2223 1.0 No F 50-59 yes
subject_2 concept 2 Task 1 2 0 0 0 2244 1.0 No F 50-59 yes
